Fecha;Cod_Libro;Cod_Usuario;Valor_Prestamo
02/08/2025;L009;U001;1200
02/08/2025;L037;U052;1200
02/08/2025;L031;U063;1200
02/08/2025;L039;U053;1200
02/08/2025;L012;U037;1200
02/08/2025;L015;U005;1200
02/08/2025;L035;U033;1200
02/08/2025;L008;U073;1200
02/08/2025;L026;U059;1200
02/08/2025;L037;U017;1200
02/08/2025;L037;U056;1200
03/08/2025;L039;U034;1200
04/08/2025;L033;U018;1200
05/08/2025;L012;U055;1200
05/08/2025;L025;U019;1200
05/08/2025;L003;U070;1200
06/08/2025;L037;U080;1200
06/08/2025;L038;U010;1200
06/08/2025;L023;U081;1200
06/08/2025;L023;U014;1200
06/08/2025;L031;U025;1200
06/08/2025;L010;U066;1200
06/08/2025;L026;U086;1200
07/08/2025;L002;U016;1200
07/08/2025;L015;U012;1200
08/08/2025;L022;U037;1200
08/08/2025;L007;U081;1200
09/08/2025;L031;U030;1200
09/08/2025;L003;U066;1200
09/08/2025;L027;U038;1200
09/08/2025;L033;U078;1200
09/08/2025;L039;U076;1200
09/08/2025;L001;U013;1200
09/08/2025;L039;U001;1200
09/08/2025;L005;U081;1200
09/08/2025;L035;U013;1200
09/08/2025;L031;U079;1200
09/08/2025;L022;U026;1200
09/08/2025;L027;U081;1200
09/08/2025;L032;U037;1200
09/08/2025;L026;U070;1200
09/08/2025;L023;U078;1200
10/08/2025;L016;U044;1200
10/08/2025;L003;U040;1200
10/08/2025;L015;U068;1200
10/08/2025;L015;U047;1200
11/08/2025;L019;U013;1200
11/08/2025;L007;U001;1200
11/08/2025;L008;U040;1200
11/08/2025;L003;U006;1200
12/08/2025;L004;U065;1200
12/08/2025;L001;U068;1200
12/08/2025;L024;U012;1200
13/08/2025;L021;U064;1200
13/08/2025;L016;U004;1200
13/08/2025;L008;U042;1200
14/08/2025;L009;U039;1200
14/08/2025;L010;U015;1200
14/08/2025;L022;U053;1200
14/08/2025;L037;U081;1200
15/08/2025;L024;U080;1200
15/08/2025;L011;U046;1200
15/08/2025;L009;U053;1200
15/08/2025;L022;U074;1200
15/08/2025;L015;U066;1200
15/08/2025;L037;U021;1200
15/08/2025;L008;U010;1200
16/08/2025;L030;U081;1200
16/08/2025;L021;U066;1200
16/08/2025;L009;U005;1200
16/08/2025;L033;U060;1200
16/08/2025;L002;U074;1200
16/08/2025;L034;U016;1200
16/08/2025;L020;U056;1200
16/08/2025;L029;U039;1200
16/08/2025;L006;U011;1200
16/08/2025;L028;U001;1200
16/08/2025;L010;U034;1200
17/08/2025;L016;U005;1200
17/08/2025;L029;U071;1200
17/08/2025;L002;U061;1200
17/08/2025;L021;U042;1200
17/08/2025;L028;U062;1200
18/08/2025;L039;U081;1200
18/08/2025;L028;U028;1200
18/08/2025;L026;U061;1200
18/08/2025;L009;U078;1200
18/08/2025;L002;U077;1200
18/08/2025;L035;U084;1200
18/08/2025;L002;U081;1200
18/08/2025;L002;U035;1200
18/08/2025;L033;U073;1200
19/08/2025;L008;U034;1200
19/08/2025;L015;U044;1200
19/08/2025;L010;U064;1200
19/08/2025;L033;U052;1200
20/08/2025;L033;U006;1200
20/08/2025;L024;U001;1200
20/08/2025;L027;U049;1200
20/08/2025;L008;U012;1200
20/08/2025;L031;U081;1200
20/08/2025;L018;U052;1200
21/08/2025;L016;U081;1200
21/08/2025;L038;U026;1200
21/08/2025;L014;U081;1200
21/08/2025;L023;U073;1200
21/08/2025;L023;U087;1200
21/08/2025;L001;U052;1200
21/08/2025;L031;U089;1200
21/08/2025;L035;U051;1200
21/08/2025;L028;U081;1200
21/08/2025;L015;U058;1200
21/08/2025;L029;U028;1200
21/08/2025;L031;U064;1200
21/08/2025;L011;U083;1200
22/08/2025;L018;U020;1200
22/08/2025;L002;U069;1200
23/08/2025;L031;U081;1200
23/08/2025;L012;U049;1200
23/08/2025;L017;U043;1200
23/08/2025;L001;U064;1200
23/08/2025;L038;U011;1200
23/08/2025;L026;U040;1200
23/08/2025;L016;U009;1200
23/08/2025;L018;U087;1200
23/08/2025;L037;U015;1200
24/08/2025;L019;U079;1200
24/08/2025;L022;U040;1200
25/08/2025;L004;U027;1200
26/08/2025;L038;U053;1200
26/08/2025;L038;U026;1200
26/08/2025;L016;U077;1200
26/08/2025;L039;U074;1200
27/08/2025;L018;U060;1200
27/08/2025;L018;U079;1200
27/08/2025;L008;U085;1200
27/08/2025;L023;U062;1200
27/08/2025;L014;U063;1200
28/08/2025;L002;U068;1200
28/08/2025;L032;U068;1200
28/08/2025;L011;U089;1200
28/08/2025;L021;U004;1200
28/08/2025;L012;U050;1200
29/08/2025;L039;U081;1200
29/08/2025;L038;U034;1200
29/08/2025;L037;U005;1200
30/08/2025;L031;U026;1200
30/08/2025;L021;U084;1200
30/08/2025;L001;U006;1200
30/08/2025;L009;U037;1200
30/08/2025;L029;U067;1200
30/08/2025;L005;U062;1200
30/08/2025;L038;U056;1200
31/08/2025;L037;U033;1200
31/08/2025;L025;U037;1200
31/08/2025;L015;U060;1200
31/08/2025;L022;U057;1200
31/08/2025;L033;U042;1200
31/08/2025;L023;U047;1200
01/09/2025;L017;U009;1200
01/09/2025;L017;U086;1200
02/09/2025;L028;U021;1200
02/09/2025;L036;U034;1200
03/09/2025;L038;U062;1200
03/09/2025;L020;U052;1200
03/09/2025;L012;U076;1200
04/09/2025;L009;U065;1200
04/09/2025;L004;U075;1200
04/09/2025;L008;U051;1200
04/09/2025;L039;U056;1200
04/09/2025;L018;U054;1200
04/09/2025;L004;U053;1200
04/09/2025;L011;U055;1200
04/09/2025;L012;U047;1200
04/09/2025;L018;U031;1200
04/09/2025;L014;U011;1200
04/09/2025;L007;U051;1200
04/09/2025;L002;U081;1200
04/09/2025;L003;U081;1200
05/09/2025;L024;U067;1200
05/09/2025;L032;U075;1200
06/09/2025;L012;U012;1200
07/09/2025;L001;U053;1200
07/09/2025;L023;U045;1200
07/09/2025;L011;U012;1200
07/09/2025;L022;U012;1200
07/09/2025;L030;U041;1200
07/09/2025;L006;U044;1200
07/09/2025;L017;U079;1200
07/09/2025;L022;U015;1200
07/09/2025;L026;U083;1200
07/09/2025;L009;U050;1200
07/09/2025;L010;U053;1200
07/09/2025;L025;U016;1200
07/09/2025;L015;U068;1200
07/09/2025;L036;U080;1200
07/09/2025;L028;U027;1200
07/09/2025;L035;U018;1200
07/09/2025;L002;U046;1200
07/09/2025;L029;U062;1200
07/09/2025;L010;U059;1200
07/09/2025;L008;U077;1200
07/09/2025;L012;U086;1200
07/09/2025;L026;U081;1200
08/09/2025;L018;U064;1200
08/09/2025;L003;U081;1200
08/09/2025;L027;U025;1200
08/09/2025;L033;U074;1200
09/09/2025;L036;U049;1200
09/09/2025;L011;U078;1200
09/09/2025;L016;U084;1200
09/09/2025;L022;U014;1200
09/09/2025;L002;U087;1200
09/09/2025;L015;U085;1200
10/09/2025;L008;U084;1200
10/09/2025;L021;U004;1200
10/09/2025;L037;U028;1200
11/09/2025;L038;U078;1200
11/09/2025;L008;U047;1200
11/09/2025;L022;U074;1200
11/09/2025;L008;U020;1200
11/09/2025;L037;U067;1200
11/09/2025;L022;U072;1200
11/09/2025;L007;U060;1200
12/09/2025;L010;U041;1200
12/09/2025;L012;U042;1200
12/09/2025;L011;U063;1200
12/09/2025;L026;U065;1200
12/09/2025;L032;U037;1200
13/09/2025;L019;U002;1200
13/09/2025;L027;U021;1200
13/09/2025;L011;U083;1200
14/09/2025;L023;U034;1200
15/09/2025;L023;U056;1200
15/09/2025;L022;U025;1200
15/09/2025;L011;U090;1200
15/09/2025;L007;U060;1200
15/09/2025;L016;U069;1200
16/09/2025;L014;U025;1200
16/09/2025;L007;U052;1200
16/09/2025;L024;U074;1200
17/09/2025;L039;U084;1200
17/09/2025;L021;U081;1200
17/09/2025;L024;U014;1200
17/09/2025;L030;U057;1200
18/09/2025;L032;U039;1200
18/09/2025;L016;U074;1200
18/09/2025;L018;U081;1200
19/09/2025;L005;U010;1200
19/09/2025;L039;U039;1200
19/09/2025;L031;U080;1200
19/09/2025;L012;U044;1200
19/09/2025;L006;U084;1200
20/09/2025;L026;U036;1200
20/09/2025;L015;U071;1200
20/09/2025;L014;U042;1200
21/09/2025;L027;U032;1200
21/09/2025;L010;U006;1200
21/09/2025;L017;U051;1200
22/09/2025;L037;U072;1200
23/09/2025;L037;U087;1200
23/09/2025;L003;U064;1200
23/09/2025;L031;U081;1200
23/09/2025;L039;U081;1200
23/09/2025;L024;U081;1200
23/09/2025;L020;U060;1200
24/09/2025;L027;U024;1200
24/09/2025;L032;U011;1200
24/09/2025;L029;U024;1200
24/09/2025;L023;U086;1200
24/09/2025;L037;U074;1200
24/09/2025;L018;U019;1200
24/09/2025;L031;U084;1200
25/09/2025;L038;U036;1200
26/09/2025;L019;U030;1200
27/09/2025;L017;U076;1200
27/09/2025;L039;U059;1200
28/09/2025;L024;U069;1200
28/09/2025;L017;U003;1200
28/09/2025;L037;U006;1200
28/09/2025;L037;U055;1200
29/09/2025;L027;U065;1200
30/09/2025;L014;U023;1200
30/09/2025;L030;U027;1200
30/09/2025;L039;U024;1200
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
