id_del_curso;Área;Nombre;;Precio;Vistas;Suscriptores;Nivel
406054;Diseño;Photoshop: aprendizaje del mundo real;https://www.udemia.cl/photoshop-practical-training/;;9;0;Todos los niveles
178044;Diseño;Cómo hacer gráficos para un sitio web;https://www.udemia.cl/how-to-make-graphics-for-a-website/;;24857;35;Todos los niveles
611804;Diseño;Primeros Pasos con Photoshop CC;https://www.udemia.cl/felinu-primeros-pasos-con-photoshop/;;6429;654;Todos los niveles
172906;Diseño;Diseño práctico de fuentes;https://www.udemia.cl/practical-font-design/;;229;23;Nivel principiante
1000116;Diseño;Photoshop 1;https://www.udemia.cl/photoshop-g/;;272;11;Todos los niveles
1101806;Diseño;Canvas1;https://www.udemia.cl/canvasns/;;44;13;Nivel principiante
595876;Diseño;Diseño de logotipos en Adobe Illustrator - para principiantes y más allá;https://www.udemia.cl/logodesign/;;4297;337;Nivel principiante
395652;Diseño;Elementos básicos de la gráfica R;https://www.udemia.cl/r-graph-essentials/;;105;4;Nivel intermedio
585174;Diseño;Acceso rápido a Adobe Illustrator;https://www.udemia.cl/adobe-illustrator-fast-track/;;9;0;Nivel principiante
1219520;Diseño;Diseño de camiseta de Adobe Illustrator para Merch de Amazon;https://www.udemia.cl/merchbyamazondesign/;;390;44;Nivel principiante
518188;Diseño;Una introducción fácil a Adobe Photoshop;https://www.udemia.cl/una-fácil-introducción-a-adobe-photoshop/;;1;0;Todos los niveles
513212;Diseño;Consejos y trucos de Adobe InDesign;https://www.udemia.cl/adobe-indesign-best-tutorials/;;4;0;Todos los niveles
201812;Diseño;Diseñe libros electrónicos atractivos y profesionales con software GRATUITO;https://www.udemia.cl/ebook-layouts/;;239;7;Todos los niveles
661628;Diseño;Diseño de logotipos: dominar la marca denominativa;https://www.udemia.cl/wordmark/;;500;29;Nivel principiante
1085646;Diseño;Cómo hacer garabatos: conceptos básicos y letras;https://www.udemia.cl/how-to-doodle-basics-and-lettering/;;2358;28;Nivel principiante
927336;Diseño;Graphicriver Author - Vende tus diseños online;https://www.udemia.cl/graphicriver-author-sell-your-designs-online/;;65;8;Nivel principiante
855188;Diseño;Conceptos básicos de Photoshop: diseño de gráficos de FaceBook;https://www.udemia.cl/photoshop-for-beginners-facebook-cover/;;616;3;Todos los niveles
1115504;Diseño;¡Cómo hacer su propio libro electrónico interactivo para niños!;https://www.udemia.cl/make-your-own-childrens-interactive-picture-ebook/;;33;2;Todos los niveles
608090;Diseño;Adobe Illustrator para principiantes: diseña un logotipo tipográfico;https://www.udemia.cl/illustratorforbeginners/;;276;54;Nivel principiante
883324;Diseño;Corel Draw X7: Mão na Massa;https://www.udemia.cl/corel-draw-x7-mao-na-massa/;;72;13;Nivel principiante
62497;Diseño;Cómo dibujar personajes de dibujos animados lindos;https://www.udemia.cl/dibujar-personajes-bonitos/;;4080;522;Nivel principiante
185526;Diseño;MicroStation - Celdas;https://www.udemia.cl/microstation-celulas/;;0;0;Nivel principiante
1143148;Diseño;PHOTOSHOP: Dessiner l'affiche du film Rogue One en estilo BD;https://www.udemia.cl/photoshop-dessiner-laffiche-du-film-rogue-one-en-style-bd/;;4;0;Todos los niveles
1136446;Diseño;Adobe Illustrator CC Principiante;https://www.udemia.cl/adobe-illustrator-beginner/;;2;0;Todos los niveles
1143032;Diseño;Siluetas que vende;https://www.udemia.cl/siluetas-que-venden/;;9;1;Todos los niveles
908324;Diseño;Aprenda los conceptos básicos de Adobe Illustrator;https://www.udemia.cl/learn-basics-of-adobe-illustrator-under-30-minutes/;;1401;30;Todos los niveles
1055424;Diseño;Stencil - Diseño gráfico simple para emprendedores;https://www.udemia.cl/stencil-graphic-design/;;11;0;Todos los niveles
1158854;Diseño;Affinity Designer para principiantes;https://www.udemia.cl/affinity-designer-for-beginners-dc/;;30;6;Nivel intermedio
1211198;Diseño;Diseño ilustrativo de patrones de superficie: de la vida a los productos;https://www.udemia.cl/illustrative-surface-patterns-design-from-life-moments-to-products/;;253;1;Nivel intermedio
452092;Diseño;Adobe Illustrator: cree una ilustración única rápida y fácil;https://www.udemia.cl/create-quick-easy-original-illustrations-in-illustrator/;;1418;57;Todos los niveles
883828;Diseño;Taller de diseño de camisetas 02: Diseño de medios mixtos;https://www.udemia.cl/t-shirt-design-workshop-part-2/;;885;176;Nivel principiante
692918;Diseño;Mejore su clave de croma con un fondo animado de Presentaciones;https://www.udemia.cl/mejore-su-clave-de-croma-con-un-fondo-de-diapositivas-animado/;;361;2;Nivel principiante
300466;Diseño;Convierte tus fotos en obras de arte modernas y profesionales;https://www.udemia.cl/convierte-tus-fotos-en-obras-de-arte-modernas-y-profesionales/;;1557;11;Todos los niveles
19164;Diseño;Secretos de diseño gráfico revelados;https://www.udemia.cl/design-like-a-pro-graphic-design-fundamentals/;;2555;28;Nivel intermedio
403764;Diseño;Aprende el diseño de aplicaciones móviles de Sketch 3 desde cero;https://www.udemia.cl/learn-sketch-3-graphic-design-from-scratch/;;528;9;Nivel principiante
960898;Diseño;Photoshop CC 2017 para principiantes: Master Photoshop Essentials;https://www.udemia.cl/adobe-photoshop-cc-for-beginners/;;389;20;Todos los niveles
273256;Diseño;Photoshop alucinante: Master Skills Temporada 1;https://www.udemia.cl/mind-blowing-photoshop-master-skills-temporada-1/;;94;3;Nivel intermedio
1008100;Diseño;Cómo crear un retrato Low Poly con la herramienta Pluma;https://www.udemia.cl/how-to-create-a-low-poly-portrait-with-the-pen-tool-adobe-illustrator/;;293;5;Todos los niveles
547190;Diseño;Increíble diseño gráfico para principiantes;https://www.udemia.cl/diseño-gráfico-increíble-para-principiantes/;;32;10;Nivel principiante
1009068;Diseño;ABC hacer Photoshop CC;https://www.udemia.cl/abc-do-photoshop-cc/;;431;99;Todos los niveles
1246636;Diseño;Photoshop - Cómo Crear Fusion de Forma Profesional;https://www.udemia.cl/curso-de-photoshop-composicao-bombeiros/;;38;6;Nivel principiante
1226332;Diseño;Aprende a utilizar Canva;https://www.udemia.cl/aprende-a-utilizar-canva/;;677;45;Todos los niveles
644914;Diseño;Ilustración digital: crea una ilustración de personaje personalizada;https://www.udemia.cl/ilustracion-digital/;;1440;16;Nivel intermedio
517866;Diseño;Cómo crear animación gif en photoshop;https://www.udemia.cl/how-to-create-gif-animation-in-photoshop/;;34;0;Nivel principiante
242176;Diseño;Si eres nuevo en Photoshop...Este es tu curso Nº1;https://www.udemia.cl/photoshopcurso1/;;13;3;Nivel principiante
711210;Diseño;Aprenda sombreado de celdas 2D en Photoshop;https://www.udemia.cl/3dmotive-learn-2d-cell-shading-in-photoshop/;;238;25;Todos los niveles
753154;Diseño;Hacer volantes corporativos en Photoshop;https://www.udemia.cl/making-corporate-flyers-in-photoshop/;;4;3;Nivel principiante
1013676;Diseño;Adobe Illustrator CC 2017 para principiantes;https://www.udemia.cl/adobe-illustrator-cc-2017/;;2489;39;Todos los niveles
502204;Diseño;Dibujo digital básico: cómo ilustrar en Photoshop;https://www.udemia.cl/dibujo-digital-basico-como-ilustrar-en-photoshop/;;155;36;Todos los niveles
371900;Diseño;Aprende a crear un efecto de fuego de texto en Adobe Photoshop;https://www.udemia.cl/learn-to-create-text-fire-effect-in-adobe-photoshop/;;0;0;Nivel intermedio
77532;Diseño;Diseño gráfico para emprendedores... que no saben dibujar;https://www.udemia.cl/diseno-grafico-para-emprendedores/;;3903;51;Nivel Experto
286160;Diseño;¡Hacer imágenes asombrosas en Photoshop que sorprenden a los clientes!;https://www.udemia.cl/killer-photoshop-images/;;45;1;Nivel intermedio
1165016;Diseño;Diseño de patrones de superficie: cree patrones escandinavos;https://www.udemia.cl/surface-pattern-design-scandinavian-art-research-to-finished-design/;;390;6;Nivel intermedio
1137738;Diseño;Photoshop - Creación de Efectos;https://www.udemia.cl/photoshop-creacion-de-efectos/;;0;0;Nivel principiante
1004512;Diseño;Máscaras de recorte e imágenes con forma en Adobe Photoshop CC;https://www.udemia.cl/how-to-adobe-photoshop-clipping-mask-layer-tutorial-images-photoshop/;;1905;12;Todos los niveles
909970;Diseño;¡Pinta la puesta de sol atmosférica con un pastel suave!;https://www.udemia.cl/atrapar-el-atardecer/;;7;1;Nivel intermedio
65596;Diseño;Aprenda a crear hermosas interfaces web y logotipos;https://www.udemia.cl/how-to-create-beautiful-web-designs/;;1085;76;Todos los niveles
733878;Diseño;Curso de Adobe Illustrator en urdu Capacitación de nivel básico;https://www.udemia.cl/adobe-illustrator-course-in-urdu-basics-level-training/;;1433;57;Nivel intermedio
408118;Diseño;Maravilloso diseño de logotipo;https://www.udemia.cl/marvelous-logo-design/;;91;5;Todos los niveles
575040;Diseño;Tipografía de la A a la Z;https://www.udemia.cl/tipografia-de-la-a-a-la-z/;;317;15;Todos los niveles
1149656;Diseño;Dominar Photoshop avanzado;https://www.udemia.cl/advanced-photoshop-practical-projectspsd-files/;;5787;40;Todos los niveles
532140;Diseño;Primeros pasos con Photoshop CC;https://www.udemia.cl/empezando-con-photoshop-cc2/;;1090;14;Nivel principiante
1199928;Diseño;El curso completo de Canvas;https://www.udemia.cl/el-curso-completo-de-canva-para-principiantes/;;68;11;Nivel principiante
1126016;Diseño;Tipografía de retrato en Photoshop - Cualquiera puede hacer tipografía;https://www.udemia.cl/retrato-tipografia-en-photoshop-cualquiera-puede-hacer-tipografia/;;941;2;Nivel intermedio
471136;Diseño;Creación de activos de juegos 2D;https://www.udemia.cl/creating-2d-game-assets/;;57;0;Todos los niveles
726314;Diseño;Cree hermosos mapas de imágenes para su sitio web;https://www.udemia.cl/how-to-create-hotspot-image-maps-for-your-website-and-wordpress/;;0;0;Nivel intermedio
399938;Diseño;Diseño de Logo Profesional en Adobe Illustrator;https://www.udemia.cl/professional-logo-design-crash-course/;;44044;1563;Nivel principiante
1128984;Diseño;Photoshop - Aprende a Transformar Imágenes;https://www.udemia.cl/photoshop-aprende-a-transformar-imagenes/;;0;0;Todos los niveles
625920;Diseño;¡Haz círculos tecnológicos en Photoshop en 30 minutos!;https://www.udemia.cl/learn-to-make-fancy-tech-circles-in-photoshop-in-30-minutes/;;1056;15;Todos los niveles
699382;Diseño;Creando rompecabezas de animación con Google Slides;https://www.udemia.cl/creando-una-tarjeta-de-felicitacion-animada-via-google-slides-4/;;679;5;Todos los niveles
522784;Diseño;Cree un diagrama de flujo de aprendizaje acelerado con acuarelas;https://www.udemia.cl/design-an-information-diet-plan-with-a-watercolor-flowchart/;;668;5;Nivel principiante
1077836;Diseño;Ecover Mastery en 30 minutos sin necesidad de conocimientos de Photoshop;https://www.udemia.cl/ecover-mastery-in-30-minutes/;;1;0;Nivel principiante
1008654;Diseño;Aprende manipulación de fotos - Construye 3 proyectos;https://www.udemia.cl/learn-photo-manipulation-build-3-projects/;;10;1;Nivel principiante
181268;Diseño;Photoshop: Creando elementos de aire;https://www.udemia.cl/photoshop-creando-elemental-de-aire/;;0;0;Nivel principiante
177472;Diseño;Nuke X: Aprende composición digital;https://www.udemia.cl/nuke-x-aprende-composicion-digital/;;3;1;Todos los niveles
1083784;Diseño;Crea tu tarjeta de visita en CorelDRAW X8;https://www.udemia.cl/crie-seu-cartao-de-visita-no-coreldraw-x8/;;28;3;Nivel Experto
1022032;Diseño;adobe illustratorcc;https://www.udemia.cl/adobe-illustrator-cc-m/;;43;12;Todos los niveles
737642;Diseño;Cómo diseñar un logotipo de Fortune 500 en Illustrator;https://www.udemia.cl/logo-logo-design-logos-logo-maker-graphic-design-logo-creator/;;3599;43;Todos los niveles
978576;Diseño;El curso completo de dibujo de figuras HD;https://www.udemia.cl/the-complete-figure-drawing-course-hd/;;1323;136;Nivel principiante
1146166;Diseño;LaTeX AZ: de principiante a avanzado en menos de 3 horas;https://www.udemia.cl/become-a-good-latex-user-to-create-professional-documents/;;623;14;Todos los niveles
783438;Diseño;Aprenda las acciones de Photoshop: ahorre tiempo con tareas repetitivas;https://www.udemia.cl/photoshop-actions-increase-your-efficiency/;;507;2;Todos los niveles
902300;Diseño;Convertir imagen a vector en Adobe Illustrator;https://www.udemia.cl/convert-image-to-vector-in-adobe-illustrator/;;3251;158;Todos los niveles
922464;Diseño;Cree impresionantes portadas de libros electrónicos con Microsoft Word;https://www.udemia.cl/ebook-cover-creator/;;447;6;Nivel principiante
793246;Diseño;Autodesk Inventor 2016: Guía completa;https://www.udemia.cl/learn-autodesk-inventor-2016/;;23;4;Todos los niveles
1080584;Diseño;Adobe Photoshop CC para fotógrafos avanzado;https://www.udemia.cl/adobe-photoshop-cc-for-photographers-advanced/;;1;0;Todos los niveles
636548;Diseño;Guía de ilustración de libros y diseño de portadas de libros electrónicos Kindle;https://www.udemia.cl/kindle-ebook-cover-design/;;715;16;Todos los niveles
1046722;Diseño;Entrenamiento definitivo de Photoshop: de principiante a profesional;https://www.udemia.cl/ultimate-photoshop-training-from-beginner-to-pro/;;5326;447;Todos los niveles
1246518;Diseño;Photoshop - Composición de época;https://www.udemia.cl/vintage-photoshop-composition-course/;;35;4;Todos los niveles
1069348;Diseño;Affinity Designer - tworzenie wzorków;https://www.udemia.cl/affinity-designer-tworzenie-wzorkow/;;1;1;Todos los niveles
53556;Diseño;Habilidades esenciales para diseñadores: trabajar con tipos;https://www.udemia.cl/trabajando-con-tipo/;;219;11;Nivel intermedio
1049380;Diseño;Canvas 2;https://www.udemia.cl/learning/;;37;0;Nivel principiante
768940;Diseño;Aprende Corel x7 como un profesional;https://www.udemia.cl/learn-corel-x7/;;1586;8;Todos los niveles
388104;Diseño;Curso de capacitación esencial en profundidad de Gimp: Photoshop gratuito alternativo.;https://www.udemia.cl/gimp-in-depth-essential-training-course/;;1452;21;Nivel intermedio
1227748;Diseño;crea impresionantes composiciones de Photoshop en minutos;https://www.udemia.cl/crea-impresionantes-composiciones-de-photoshop-en-minutos/;;5;0;Nivel principiante
843620;Diseño;Aprende Adobe InDesign desde cero;https://www.udemia.cl/learn-adobe-indesign-from-scratch/;;6;2;Todos los niveles
1258402;Diseño;Curso completo de Canva para diseño gráfico | 20 Proyectos;https://www.udemia.cl/canva-course-graphics-design/;;3;3;Nivel principiante
1164832;Diseño;Formación Photoshop;https://www.udemia.cl/formacion-photoshop/;;6;0;Nivel intermedio
1265678;Diseño;CORSO COMPLETO DI E-ON VUE X-STREAM PER TUTTI;https://www.udemia.cl/corso-completo-di-e-on-vue-x-stream-per-tutti/;;3;1;Nivel principiante
805882;Diseño;Diseñe las camisetas más vendidas desde principiante hasta experto.;https://www.udemia.cl/t-shirt-design-from-beginner-to-expert-using-photoshop/;;798;198;Todos los niveles
792232;Diseño;Técnicas de diseño plano más buscadas;https://www.udemia.cl/flat-design-flat-ui-design-flat-colors-flat-design-illustrator/;;2081;35;Todos los niveles
784478;Diseño;¡Haz naves espaciales de diseño plano en 30 minutos en Illustrator!;https://www.udemia.cl/make-flat-design-space-ships-in-30-minutes-in-illustrator/;;1146;41;Todos los niveles
37821;Diseño;Caricaturas rápidas y extravagantes: ¡aprende en una hora!;https://www.udemia.cl/quick-and-quirky-caricaturas/;;139;14;Nivel intermedio
650720;Diseño;Crear un logo con Adobe Illustrator;https://www.udemia.cl/crea-il-tuo-logo-con-adobe-illustrator/;;1447;121;Todos los niveles
410974;Diseño;Aprenda After Effects y domine las capas 3D en After Effects;https://www.udemia.cl/los-básicos-de-los-efectos-posteriores/;;987;2;Todos los niveles
327666;Diseño;Arte digital para principiantes;https://www.udemia.cl/arte-digital-101-de-principiante-a-profesional/;;3381;388;Nivel intermedio
682060;Diseño;Caligrafía para principiantes: crear líneas fuertes;https://www.udemia.cl/calligraphy-for-beginners-creating-strong-lines/;;246;30;Nivel principiante
335902;Diseño;Diseño de portada de libro electrónico;https://www.udemia.cl/ebooks-cover-design/;;30;3;Nivel principiante
501140;Diseño;Illustrator CC para novatos: ¡desde cero hasta experto!;https://www.udemia.cl/ilustrador-cc-para-novatos-desde-cero-hasta-experto/;;2476;466;Nivel principiante
638040;Diseño;Conceptos básicos de Adobe Photoshop: Domine Adobe Photoshop CS6;https://www.udemia.cl/adobe-photoshop-cs6-essentials-how-to-use-photoshop/;;1373;5;Todos los niveles
1182330;Diseño;Aprenda diseño de logotipos: 5 tipos de diseños de logotipos en Illustrator;https://www.udemia.cl/learn-logo-design-tutorial-in-illustrator-beginners/;;106;2;Todos los niveles
826202;Diseño;Diseñe un fotolibro único con calidad de librería con Blurb;https://www.udemia.cl/foto-libro-blurb/;;2863;11;Nivel principiante
880202;Diseño;Anatomía y dibujo de figuras para principiantes;https://www.udemia.cl/anatomy-and-figure-drawing-for-games-and-comics/;;2252;240;Todos los niveles
489114;Diseño;La guía completa de producción de video: aprenda las mejores herramientas de video;https://www.udemia.cl/video-production-guide-learn-top-video-tools-to-create-awesome-videos/;;121;9;Nivel principiante
789670;Diseño;Diseño Gráfico fácil y rápido.;https://www.udemia.cl/aprende-diseno-grafico-facil-y-rapido/;;97;9;Todos los niveles
857144;Diseño;PORTADAS DE FACEBOOK EN POWERPOINT;https://www.udemia.cl/diseño-de-portadas-de-facebook-en-powerpoint/;;1123;31;Todos los niveles
22445;Diseño;Aprende a diseñar un membrete: un curso para principiantes;https://www.udemia.cl/learn-to-design-a-letterhead/;;24687;423;Todos los niveles
1133764;Diseño;El arte del diseño de logotipos: todo lo que necesita saber;https://www.udemia.cl/el-arte-del-diseño-de-logotipos/;;0;0;Todos los niveles
631148;Diseño;Crea hermosos y llamativos banners para redes sociales con Canva;https://www.udemia.cl/impresionantes-imágenes-para-redes-sociales-con-canva/;;1098;3;Todos los niveles
1141560;Diseño;Debutante con KRITA;https://www.udemia.cl/debuter-avec-krita/;;3;0;Todos los niveles
134690;Diseño;Aprende a Dibujar y Pintar un Paisaje con Colores al Óleo;https://www.udemia.cl/aprende-a-dibujar-y-pintar-un-paisaje-con-colores-al-oleo/;;51;2;Todos los niveles
464184;Diseño;Guía experta: ¡Domine en profundidad los objetos inteligentes de Photoshop!;https://www.udemia.cl/a-genius-guide-become-photoshop-smarty-with-smart-objects/;;3360;26;Todos los niveles
317278;Diseño;Logotipos tipográficos: tipografía y letras para el diseño de logotipos;https://www.udemia.cl/typographic-logos-typography-and-lettering-for-logo-design/;;4235;427;Nivel principiante
1260674;Diseño;¡Aprende a suavizar los colores de los cómics! (Papel de asistente de color);https://www.udemia.cl/flatting/;;946;3;Todos los niveles
1018358;Diseño;Diseño de logotipo ilustrado;https://www.udemia.cl/how-to-design-illustration-logos/;;447;2;Todos los niveles
477634;Diseño;Adobe Illustrator CC - Diseño de impresión para principiantes;https://www.udemia.cl/adobe-illustrator-cc-print-design/;;145;35;Todos los niveles
609642;Diseño;Ferramentas Visuais;https://www.udemia.cl/ferramentasvisuales/;;817;42;Todos los niveles
742392;Diseño;Conviértete en un experto de photoshop cc naked series;https://www.udemia.cl/photoshop-cc-naked-series/;;24;5;Todos los niveles
808808;Diseño;Introducción a GIMP 2.8: tutoriales para principiantes;https://www.udemia.cl/introduction-to-gimp-for-beginners/;;282;8;Nivel principiante
1027480;Diseño;Cree pancartas publicitarias gif animadas en Photoshop CC;https://www.udemia.cl/aprende-cómo-crear-banners-gif-publicitarios-animados-en-photoshop-cc/;;1310;9;Nivel principiante
429866;Diseño;Del dibujo a la ilustración;https://www.udemia.cl/del-dibujo-a-la-ilustracion/;;237;25;Todos los niveles
506164;Diseño;Mastering Photoshop Elements 13 Made Easy Training Tutorial;https://www.udemia.cl/mastering-photoshop-elements-13-made-easy-training-tutorial/;;1738;8;Todos los niveles
1182900;Diseño;¿Cómo crear un asombroso Cinema-graph con Adobe Photoshop?;https://www.udemia.cl/how-to-create-awesome-cinema-graph-with-adobe-photoshop/;;1602;8;Nivel intermedio
1047508;Diseño;Conviértete en un Papá Noel: Manipulación con Photoshop;https://www.udemia.cl/make-your-self-a-santa-claus-merry-christmas/;;2665;20;Nivel intermedio
52457;Diseño;El proceso de diseño de logotipos de principio a fin;https://www.udemia.cl/el-proceso-de-diseño-del-logotipo-de-principio-a-final/;;2361;74;Todos los niveles
58791;Diseño;Tutorial de Toon Boom Studio - Animación de dibujos animados simplificada;https://www.udemia.cl/toon-boom-studio-tutorial/;;342;20;Nivel intermedio
873296;Diseño;Corel Draw X7 EÄŸitimi (Temelden Ä°leri Seviyeye);https://www.udemia.cl/coreldraw-x8-egitimi-temel/;;28;6;Todos los niveles
810234;Diseño;Guía para principiantes: póster/obra de Photoshop;https://www.udemia.cl/hazlo-tu-mismo-aprende-photoshop-postersflyers-creation/;;775;5;Nivel principiante
1120554;Diseño;Capacitación esencial de diseño de gráficos de Canva para todos;https://www.udemia.cl/canva-graphics-design-essential-training/;;12340;124;Nivel principiante
121490;Diseño;FullPage: la guía completa de sitios web planos;https://www.udemia.cl/diseño-plano-fácil/;;817;14;Todos los niveles
948294;Diseño;Ù…Ø¯Ø®Ù„ Ù ÙŠ Ø£Ø³Ø§Ø³ÙŠØ§Øª Ø§Ù„Ù ÙˆØ·ÙˆØ´ÙˆØ¨ Ù„Ù„Ù…Ø¨ØªØ¯Ø¦ÙŠÙ† Ù Ù‚Ø·;https://www.udemia.cl/arabic-photoshop-for-beginers-easy/;;13;9;Todos los niveles
269082;Diseño;Photoshop: Dominio práctico independiente del mundo real;https://www.udemia.cl/photoshop-real-world-hands-on-graphic-and-web-design/;;5950;25;Todos los niveles
951304;Diseño;La técnica Play-Doh: divertidos vectores hechos a mano en Illustrator;https://www.udemia.cl/play-doh-technique/;;1145;42;Todos los niveles
1100628;Diseño;Canva: diseña y vende tus propios diseños profesionales de Canva;https://www.udemia.cl/canva-design-and-sell-your-own-professional-graphic-designs/;;793;26;Nivel principiante
624356;Diseño;Cómo hacer mejores composiciones: lleva tu arte a una nueva altura;https://www.udemia.cl/mejores-composiciones/;;11;3;Todos los niveles
870368;Diseño;Photoshop de cero a héroe (árabe);https://www.udemia.cl/photoshop-arabic/;;720;220;Todos los niveles
691641;Diseño;Typografie - Die besten Schriftarten im Geschäftsalltag;https://www.udemia.cl/typographie-schriftarten/;;213;10;Todos los niveles
1067516;Diseño;Diseño de logotipo vectorial en Affinity Designer;https://www.udemia.cl/logoaffinitydesigner/;;1789;102;Todos los niveles
1125814;Diseño;Dominar la animación de texto en After Effect;https://www.udemia.cl/master-text-animation-in-ae/;;1;1;Nivel principiante
334530;Diseño;Illustrator 101: aprenda rápida y fácilmente a crear obras de arte;https://www.udemia.cl/make-money-freelancing-after-this-illustrator-course/;;452;3;Todos los niveles
1236254;Diseño;Diseño de personaje;https://www.udemia.cl/diseño-de-personajes/;;5;0;Nivel principiante
1106490;Diseño;El bombardeo de la teoría del diseño;https://www.udemia.cl/graphic-design-theory-blitz/;;142;35;Nivel principiante
188584;Diseño;Letras en Adobe Illustrator;https://www.udemia.cl/letras-en-adobe-illustrator/;;0;0;Todos los niveles
1153710;Diseño;Aprende Adobe Photoshop de cero a profesional;https://www.udemia.cl/learn-adobe-photoshop-hot-skill-of-today/;;1276;3;Nivel principiante
519968;Diseño;Guía experta: ¡Característica de tipos de dominio en Illustrator!;https://www.udemia.cl/mastering-types-in-illustrator/;;1552;11;Todos los niveles
720300;Diseño;Bootcamp de aplicación y teoría del diseño de logotipos;https://www.udemia.cl/logo-design-theory-application-bootcamp/;;341;57;Nivel principiante
555952;Diseño;Aprenda UI/UX y diseño de aplicaciones móviles en Photoshop desde cero;https://www.udemia.cl/learn-uiux-and-mobile-app-design-in-photoshop-from-scratch/;;1367;61;Nivel intermedio
935108;Diiseño;Adobe: cree un logotipo profesional paso a paso (Belleza);https://www.udemia.cl/adobe-create-a-professional-logo-step-by-step-beauty/;;2420;27;Todos los niveles
185092;Diseño;Diseña mientras aprendes InDesign CC;https://www.udemia.cl/design-while-you-learn-indesign-cc/;;1116;3;Todos los niveles
