Área;ID_Curso;nombre;URL;Nivel;Precio;Suscriptores;Vistas
desarrollador web;173134;MongooseJS Essentials - Aprenda MongoDB para Node.js;https://www.udemia.cl/mongoosejs-essentials/;Nivel intermedio; 200.000 ;15; 17.071 
desarrollador web;173548;Joomla: ¡Cree un sitio web de Joomla este fin de semana SIN CODIFICACIÓN!;https://www.udemia.cl/joomla-create-a-joomla-website-this-weekend-with-no-coding/;Todos los niveles; - ;30; 120.291 
desarrollador web;188692;HTML CSS Sencillos pasos para crear una plantilla web desde cero;https://www.udemia.cl/html-css-sencillos-pasos-para-crear-una-plantilla-web-desde-cero/;Todos los niveles; - ;17; 16.527 
desarrollador web;197828;HTML y CSS para principiantes: crea un sitio web y lánzalo ONLINE;https://www.udemia.cl/html-and-css-for-beginners-crash-course-learn-fast-easy/;Nivel intermedio; - ;24; 21.087 
desarrollador web;212374;Fundamentos de Javascript;https://www.udemia.cl/javascript-essentials/;Todos los niveles; - ;25; 15.493 
desarrollador web;231176;Adobe Flash para principiantes - Cree un sitio web Flash desde cero;https://www.udemia.cl/adobe-flash-for-beginners-build-flash-website-from-scratch/;Nivel principiante; 50.000 ;80; 18.818 
desarrollador web;267560;La guía práctica para desarrolladores web definitiva;https://www.udemia.cl/aprender-desarrollo-web-guía-completa-paso-a-paso-para-el-éxito/;Nivel principiante; - ;87; 29.990 
desarrollador web;269638;El curso completo de PHP CodeIgniter: principiante a avanzado;https://www.udemia.cl/codeignitercourse/;Nivel intermedio; 150.000 ;21; 14.606 
desarrollador web;283014;Curso intensivo de Angular 2 con TypeScript;https://www.udemia.cl/angular-2-crash-course/;Todos los niveles; 135.000 ;15; 15.064 
desarrollador web;289230;JavaScript Introducción al aprendizaje de la programación web en JavaScript;https://www.udemia.cl/javascript-intro-to-learning-javascript/;Nivel principiante; 175.000 ;55; 59.361 
desarrollador web;294794;Aprenda a usar los widgets de jQuery UI;https://www.udemia.cl/aprender-a-usar-jquery-ui-widgets/;Todos los niveles; - ;12; 32.260 
desarrollador web;297390;Aprende Web Scraping con Node.js;https://www.udemia.cl/web-scraping-nodejs/;Todos los niveles; - ;30; 18.496 
desarrollador web;309820;PHP para principiantes: conviértase en un maestro de PHP: proyecto incluido;https://www.udemia.cl/php-for-complete-beginners-includes-msql-object-oriented/;Todos los niveles; - ;65; 15.092 
desarrollador web;314462;Angular 2 con TypeScript para principiantes: la guía pragmática;https://www.udemia.cl/angular-2-tutorial-para-principiantes/;Nivel principiante; - ;17; 64.128 
desarrollador web;340844;Codifique una página de destino 'Próximamente' en Bootstrap 4;https://www.udemia.cl/code-a-coming-soon-landing-page-in-bootstrap-4/;Nivel principiante; - ;60; 15.462 
desarrollador web;357726;Secretos del sitio web: obtenga un sitio web magnífico a bajo precio;https://www.udemia.cl/how-to-get-un-excelente-sitio-web-a-un-menor-costo/;Nivel principiante; - ;16; 21.147 
desarrollador web;364426;;;Todos los niveles; 175.000 ;85; 79.612 
desarrollador web;364616;Aprenda HTML y CSS: cómo comenzar su carrera de desarrollo web;https://www.udemia.cl/cómo-conseguí-un-trabajo-de-desarrollo-web-ganado-5k-freelancing/;Todos los niveles; - ;28; 15.715 
desarrollador web;369662;Aprenda los fundamentos de PHP desde cero;https://www.udemia.cl/learn-php-fundamentals-from-scratch/;Todos los niveles; 150.000 ;98; 24.575 
desarrollador web;382786;Desarrollo CSS (¡con CSS3!);https://www.udemia.cl/css-desarrollo-con-css3/;Nivel principiante; - ;21; 20.890 
desarrollador web;383204;¡Aprenda el sitio web de comercio electrónico en PHP y MySQL desde cero!;https://www.udemia.cl/sitio-web-de-comercio-electrónico-en-php-mysqli/;Todos los niveles; 100.000 ;96; 17.334 
desarrollador web;390866;Cómo configurar el alojamiento web;https://www.udemia.cl/how-to-setup-web-hosting/;Todos los niveles; 190.000 ;197; 14.103 
desarrollador web;391546;El curso completo de JavaScript: crea un proyecto del mundo real;https://www.udemia.cl/el-curso-de-javascript-completo/;Todos los niveles; 70.000 ;23; 17.714 
desarrollador web;405282;PSD a una página de destino creativa usando Twitter Bootstrap 3;https://www.udemia.cl/psd-to-responsive-html5-css3-with-bootstrap-3/;Nivel principiante; 200.000 ;286; 28.880 
desarrollador web;405926;Aprende JavaScript para principiantes;https://www.udemia.cl/aprender-javascript-curso/;Todos los niveles; - ;50; 70.773 
desarrollador web;427530;Ultimate Angular 4 (anteriormente Angular 2) con Bootstrap 4;https://www.udemia.cl/ultimate-angular-2/;Nivel principiante; 60.000 ;74; 14.813 
desarrollador web;429364;Conceptos básicos de PHP: comience a ganar los mejores dólares que se merece;https://www.udemia.cl/php-fundamentals/;Todos los niveles; - ;38; 26.541 
desarrollador web;437398;JavaScript: comprender las partes extrañas;https://www.udemia.cl/understand-javascript/;Todos los niveles; 195.000 ;77; 43.977 
desarrollador web;445534;Diseño receptivo con NUEVO Materialise;https://www.udemia.cl/responsive-design-with-new-google-materialize/;Nivel principiante; 20.000 ;21; 18.777 
desarrollador web;446134;Cómo hacer un sitio web de una sola página para autónomos y agencias;https://www.udemia.cl/how-to-make-a-portfolio-website-for-freelancers-agencies/;Nivel principiante; 200.000 ;246; 33.788 
desarrollador web;461160;Codificación para Emprendedores Básico;https://www.udemia.cl/codificación-para-emprendedores-básico/;Nivel principiante; 195.000 ;98; 58.208 
desarrollador web;470288;El curso completo de ASP.NET MVC 5;https://www.udemia.cl/the-complete-aspnet-mvc-5-course/;Nivel principiante; - ;20; 26.697 
desarrollador web;473160;Fundamentos de Programación: HTML5 + CSS3 para Emprendedores 2015;https://www.udemia.cl/html-css-more/;Todos los niveles; - ;20; 98.867 
desarrollador web;499632;React JS: cree aplicaciones JS del mundo real e impleméntelas en la nube;https://www.udemia.cl/reactjs-for-beginners-build-real-world-react-apps-deploy-on-cloud/;Todos los niveles; 75.000 ;20; 14.254 
desarrollador web;505208;Photoshop para principiantes a HTML5 y CSS3;https://www.udemia.cl/psd-html5-css3/;Nivel principiante; 20.000 ;58; 23.764 
desarrollador web;511934;Dominar la programación HTML5: la forma más fácil;https://www.udemia.cl/html5-programación-tutoriales/;Todos los niveles; - ;53; 30.531 
desarrollador web;516062;AngularJS JumpStart con Dan Wahlin;https://www.udemia.cl/angularjs-jumpstart/;Todos los niveles; 20.000 ;16; 17.554 
desarrollador web;519442;JavaScript para principiantes absolutos;https://www.udemia.cl/javascript-for-absolute-beginners/;Todos los niveles; 195.000 ;283; 33.677 
desarrollador web;534376;Aprender programación orientada a objetos bootcamp de fundamentos de PHP;https://www.udemia.cl/aprender-programación-orientada-a-objetos-php-fundamentals-bootcamp/;Nivel principiante; 75.000 ;26; 22.355 
desarrollador web;556248;Trucos de JavaScript para crear proyectos de código desde cero;https://www.udemia.cl/learn-javascript-code-create-projects-from-scratch/;Todos los niveles; 195.000 ;84; 57.422 
desarrollador web;556922;El curso completo de NodeJS: Cree una aplicación de calificación comercial completa;https://www.udemia.cl/learn-nodejs-by-building-an-employee-to-business-rating-app/;Nivel principiante; 40.000 ;29; 15.724 
desarrollador web;574876;Inicio rápido de Bootstrap 4: Codifique sitios web receptivos modernos;https://www.udemia.cl/bootstrap-4/;Nivel principiante; 100.000 ;43; 14.260 
desarrollador web;579338;Tutorial avanzado de HTML5 para desarrolladores web;https://www.udemia.cl/advanced-html5-for-web-developers/;Todos los niveles; 100.000 ;16; 22.213 
desarrollador web;580466;El curso completo de JavaScript para principiantes en desarrollo web;https://www.udemia.cl/javascriptcourse/;Nivel intermedio; 195.000 ;144; 55.332 
desarrollador web;582636;Tutorial HTML: HTML y CSS para principiantes;https://www.udemia.cl/learn-html5/;Todos los niveles; 150.000 ;68; 18.101 
desarrollador web;607048;Tecnologías Docker para DevOps y desarrolladores;https://www.udemia.cl/docker-tutorial-for-devops-run-docker-containers/;Nivel principiante; 80.000 ;21; 28.125 
desarrollador web;625204;La guía completa para desarrolladores de MongoDB;https://www.udemia.cl/the-complete-developers-guide-to-mongodb/;Nivel principiante; 200.000 ;342; 121.584 
desarrollador web;629142;Cree sitios web desde cero con HTML y CSS;https://www.udemia.cl/build-website-scratch/;Nivel principiante; 200.000 ;281; 24.861 
desarrollador web;639654;Diseño rápido de sitios web con Bootstrap;https://www.udemia.cl/diseño-de-sitio-web-responsivo/;Todos los niveles; - ;30; 17.463 
desarrollador web;642410;SEO mejorado con Rich Snippets y MicroData;https://www.udemia.cl/seo-mejorado-con-fragmentos-enriquecidos-y-microdatos/;Todos los niveles; 195.000 ;67; 24.978 
desarrollador web;648118;El Curso Completo de Desarrollador Web 2.0;https://www.udemia.cl/the-complete-web-developer-course-2/;Todos los niveles; 75.000 ;27; 16.590 
desarrollador web;652438;Reacción avanzada y Redux;https://www.udemia.cl/react-redux-tutorial/;Nivel principiante; 195.000 ;30; 17.895 
desarrollador web;653846;Aprende HTML y CSS desde cero;https://www.udemia.cl/html-and-css-from-scratch/;Nivel intermedio; 195.000 ;42; 25.799 
desarrollador web;654680;JavaScript de 1 hora;https://www.udemia.cl/1-hora-javascript/;Nivel principiante; 75.000 ;16; 15.106 
desarrollador web;674608;1 hora de CSS;https://www.udemia.cl/1-hora-css/;Nivel principiante; 195.000 ;316; 37.141 
desarrollador web;695656;Aprenda desarrollo web receptivo desde cero;https://www.udemia.cl/learn-responsive-web-development-from-scratch/;Nivel principiante; 195.000 ;46; 31.499 
desarrollador web;701634;Diseño web para desarrolladores web: ¡construya hermosos sitios web!;https://www.udemia.cl/web-design-secrets/;Todos los niveles; - ;9; 21.245 
desarrollador web;701636;Aprenda a crear hermosos sitios web HTML5 y CSS3 en 1 mes;https://www.udemia.cl/learn-to-build-beautiful-html5-and-css3-websites-in-1-month/;Todos los niveles; 75.000 ;10; 16.731 
desarrollador web;705264;Cree un reproductor de video HTML5 desde cero;https://www.udemia.cl/html5-video-player/;Todos los niveles; 180.000 ;150; 50.815 
desarrollador web;707962;Joomla 3 - Los fundamentos;https://www.udemia.cl/joomla-3-the-basics/;Todos los niveles; - ;41; 47.062 
desarrollador web;708578;Comience a crear sitios web Todo lo que necesita proporcionado;https://www.udemia.cl/get-started-creating-websites-everything-you-need-provided/;Todos los niveles; - ;13; 41.478 
desarrollador web;714724;Master WordPress Plugins: Shortcodes Ultimate - Conceptos básicos;https://www.udemia.cl/master-popular-wordpress-plugin-shortcodes-ultimate/;Todos los niveles; 30.000 ;44; 19.210 
desarrollador web;719002;El campo de entrenamiento para desarrolladores web;https://www.udemia.cl/the-web-developer-bootcamp/;Todos los niveles; 150.000 ;194; 40.070 
desarrollador web;756150;JavaScript Paso a Paso cómo aplicarlo a tus páginas web;https://www.udemia.cl/javascript-fundamentals-bootcamp-learn-how-to-use-javascript/;Nivel principiante; 190.000 ;329; 73.783 
desarrollador web;756914;Aprende y entiende AngularJS;https://www.udemia.cl/learn-angularjs/;Nivel principiante; - ;8; 21.682 
desarrollador web;764164;Aprenda a configurar sitios web desde cero;https://www.udemia.cl/learn-to-setup-websites-from-scratch/;Nivel principiante; 200.000 ;304; 114.512 
desarrollador web;766592;El curso completo de HTML y CSS: de novato a profesional;https://www.udemia.cl/htmlwebsite/;Nivel intermedio; - ;28; 20.073 
desarrollador web;772618;Aprenda a crear sitios web rápidamente con Wordpress;https://www.udemia.cl/aprende-cómo-crear-rápidamente-sitios-web-usando-wordpress/;Todos los niveles; - ;32; 36.322 
desarrollador web;778112;Diseño web Creación de sitios web desde cero;https://www.udemia.cl/web-design-creating-websites-from-scratch/;Todos los niveles; 120.000 ;27; 14.118 
desarrollador web;781532;Conozca HTML Aprenda conceptos básicos de HTML;https://www.udemia.cl/html-curso-online/;Todos los niveles; 140.000 ;119; 21.998 
desarrollador web;787236;Introducción al Desarrollo Web: HTML;https://www.udemia.cl/webdevelopment101_html/;Todos los niveles; 95.000 ;73; 22.623 
desarrollador web;806922;Conviértete en un desarrollador web desde cero;https://www.udemia.cl/how-to-become-a-web-developer-from-scratch/;Nivel principiante; 190.000 ;138; 20.652 
desarrollador web;808622;Cree sitios web receptivos del mundo real con HTML5 y CSS3;https://www.udemia.cl/diseñar-y-desarrollar-un-sitio-web-asesino-con-html5-y-css3/;Nivel principiante; - ;13; 21.689 
desarrollador web;833442;El desarrollador profesional de Ruby on Rails;https://www.udemia.cl/pro-rubyonrails/;Nivel Experto; 150.000 ;111; 17.297 
desarrollador web;851712;Guía definitiva para la integración del desarrollo web en redes sociales;https://www.udemia.cl/ultimate-guide-to-social-media-web-development-integration/;Nivel principiante; 195.000 ;113; 27.801 
desarrollador web;866460;Javascript: desde principiante hasta Pro-Build aplicaciones JS del mundo real;https://www.udemia.cl/javascript-from-beginner-to-pro-best-course/;Nivel principiante; 195.000 ;66; 29.348 
desarrollador web;874166;Obtener resultados - Principios básicos del desarrollo web Trucos Consejos;https://www.udemia.cl/web-development-foundations-base-for-your-coding-environment/;Nivel intermedio; 100.000 ;74; 16.409 
desarrollador web;882488;Conviértase en excepcional en HTML y HTML5;https://www.udemia.cl/become-Exceptional-in-html-html5/;Todos los niveles; 95.000 ;20; 23.572 
desarrollador web;949282;Cómo hacer un sitio web de videoblog desde cero con Wordpress;https://www.udemia.cl/how-to-make-a-video-blog-website/;Nivel principiante; 195.000 ;67; 32.696 
desarrollador web;963412;Puede crear sitios web increíbles con HTML CSS, aprenda cómo;https://www.udemia.cl/aprender-a-crear-html-css-web-templates-create-web-pages/;Todos los niveles; 120.000 ;37; 17.759 
desarrollador web;983534;El curso profesional completo de PHP MySQL con 5 proyectos;https://www.udemia.cl/el-curso-completo-php-mysql-professional/;Nivel principiante; 50.000 ;33; 16.926 
desarrollador web;993754;Aprenda Ruby on Rails: Procesamiento de pagos de Stripe;https://www.udemia.cl/learn-ruby-on-rails-stripe-payment-processing/;Nivel principiante; 195.000 ;159; 16.282 
desarrollador web;995016;Núcleo de Django | Una guía de referencia para los conceptos básicos de Django;https://www.udemia.cl/django-core/;Nivel intermedio; 190.000 ;329; 17.671 
desarrollador web;1025026;Angular 2+ con Typescript - Entrenamiento esencial;https://www.udemia.cl/angular-2-training/;Todos los niveles; 195.000 ;77; 28.694 
desarrollador web;1027342;Programación web con Python;https://www.udemia.cl/programacion-web-con-python/;Todos los niveles; 200.000 ;17; 14.842 
desarrollador web;1078522;Aprenda WordPress completo para crear sitios profesionales;https://www.udemia.cl/learn-complete-wordpress-for-building-a-professional-sites/;Todos los niveles; 60.000 ;77; 16.829 
desarrollador web;1107524;Conviértase en un desarrollador web certificado;https://www.udemia.cl/become-a-certified-web-developer/;Nivel principiante; 195.000 ;61; 17.784 
desarrollador web;1146014;JavaScript Rockstar Cómo crear código increíblemente útil;https://www.udemia.cl/javascript-projects-from-scratch-guia-paso-a-paso-para-aprender/;Todos los niveles; 200.000 ;19; 15.276 
desarrollador web;1171966;JavaScript para principiantes Bienvenido a aprender JavaScript;https://www.udemia.cl/javascript-for-beginners-course/;Todos los niveles; 200.000 ;125; 16.158 
;;;;;;;
desarrollador web;628222;Aprendiendo Diseño de Sitios Web Dinámicos - PHP MySQL y JavaScript;https://www.udemia.cl/learning-dynamic-website-design/;Todos los niveles; - ;25; 14.026 
desarrollador web;269006;Codifique una página de inicio personal en 1 hora;https://www.udemia.cl/introducción-a-html-y-css/;Todos los niveles; 20.000 ;19; 13.960 
desarrollador web;958750;PHP práctico: domine los conceptos básicos y codifique sitios web dinámicos;https://www.udemia.cl/code-dynamic-websites/;Todos los niveles; 75.000 ;28; 13.920 
desarrollador web;566248;Desarrollo de WordPress para principiantes;https://www.udemia.cl/wordpress-basic/;Nivel principiante; 150.000 ;47; 13.882 
desarrollador web;881210;Aprenda los conceptos básicos de programación para especialistas en marketing;https://www.udemia.cl/programacion-basica-para-marketers/;Todos los niveles; 80.000 ;62; 13.708 
desarrollador web;884946;AngularJS para principiantes;https://www.udemia.cl/angularjs-para-principiantes-udemy/;Nivel principiante; - ;18; 13.535 
desarrollador web;1165096;Aprenda a crear sitios web con Twitter Bootstrap;https://www.udemia.cl/aprender-a-crear-sitios-web-usando-twitter-bootstrap/;Todos los niveles; 80.000 ;69; 13.457 
desarrollador web;520116;EMMET Flujo de trabajo HTML y CSS más rápido: la mejor herramienta para desarrolladores;https://www.udemia.cl/emmet-start-coding-html-and-css-fast-and-easy/;Nivel principiante; 150.000 ;89; 13.439 
desarrollador web;563248;Fundamentos de copia de seguridad y restauración de WordPress;https://www.udemia.cl/wordpress-backup-and-restore-fundamentals/;Todos los niveles; 100.000 ;44; 13.406 
desarrollador web;226534;Escribe HTML5 y CSS 3 más rápido;;Todos los niveles; - ;24; 13.242 
desarrollador web;1023062;Cree su primer sitio web en 1 semana con HTML5 y CSS3;https://www.udemia.cl/crea-tu-primer-sitio-web-en-1-semana/;Nivel principiante; - ;8; 13.210 
desarrollador web;778084;Aprenda Javascript y JQuery desde cero;https://www.udemia.cl/learn-javascript-jquery-from-scratch/;Nivel principiante; - ;88; 13.130 
desarrollador web;752706;Aprende Html5 y CSS3 desde cero;https://www.udemia.cl/learn-html5-css3-from-scratch/;; - ;;
desarrollador web;861624;HTML de 1 hora;https://www.udemia.cl/1-hora-html/;Todos los niveles; 80.000 ;68; 13.010 
desarrollador web;382856;Aprenda diseño web y HTML5/CSS3 Essentials en 4 horas;https://www.udemia.cl/build-beautiful-html5-website/;Nivel principiante; - ;13; 12.974 
desarrollador web;939962;El curso completo de Sass y SCSS: de principiante a avanzado;https://www.udemia.cl/sasscourse/;Todos los niveles; 65.000 ;22; 12.953 
desarrollador web;646056;HTML 5: Cómo hice sitios web en HTML5;https://www.udemia.cl/html5-certificación/;Todos los niveles; - ;22; 12.952 
desarrollador web;917724;Comprensión práctica de PHP y MySQL;https://www.udemia.cl/comprensión-práctica-de-php-y-myqsl-demo/;Nivel principiante; 75.000 ;95; 12.893 
desarrollador web;682484;Vue JS 2 - La guía completa (incl. Vue Router y Vuex);https://www.udemia.cl/vuejs-2-la-guia-completa/;Todos los niveles; 75.000 ;20; 12.882 
desarrollador web;101864;JavaScript para principiantes: aprenda JavaScript desde cero;https://www.udemia.cl/curso-de-javascript-para-principiantes/;Nivel principiante; 200.000 ;38; 12.873 
desarrollador web;788514;Cree un sitio web receptivo con un diseño plano moderno;https://www.udemia.cl/build-responsive-website-designs-with-html5-and-css/;Nivel intermedio; 150.000 ;22; 12.838 
desarrollador web;1049092;Angular 4 (anteriormente Angular 2) - La guía completa;https://www.udemia.cl/la-guia-completa-para-angular-2/;Todos los niveles; 175.000 ;53; 12.815 
desarrollador web;732556;Pruebe AngularJS: Guía para principiantes de desarrollo web front-end;https://www.udemia.cl/try-angularjs/;Nivel intermedio; 20.000 ;22; 12.781 
desarrollador web;561136;Tutorial de servlets y JSP: aprenda aplicaciones web con Java;https://www.udemia.cl/javawebtut/;Nivel principiante; 75.000 ;36; 12.629 
desarrollador web;188828;Aprenda animación SVG - con HTML, CSS y Javascript;https://www.udemia.cl/learn-svg-animation/;Todos los niveles; - ;11; 12.563 
desarrollador web;8325;Curso completo de AJAX: aprenda técnicas de AJAX usando Bootstrap;https://www.udemia.cl/ajaxcourse/;Nivel principiante; 20.000 ;82; 12.458 
desarrollador web;657734;Cree un sitio web profesional - Garantía de 30 días. ¡Rebajado!;https://www.udemia.cl/make-your-own-business-website-beginner-and-intermediate/;Nivel intermedio; 195.000 ;26; 12.368 
desarrollador web;1247828;Core HTML Cómo conectarse rápidamente HTML a HTML5;https://www.udemia.cl/web-desarrollo-introducción-html-html5-curso/;Nivel principiante; 120.000 ;120; 12.366 
desarrollador web;777654;Aprende HTML 5 en 1 hora;https://www.udemia.cl/learn-html-5-en-1-hora/;Nivel principiante; - ;26; 12.336 
desarrollador web;217010;Ruby on Rails una guía para principiantes;https://www.udemia.cl/ruby-on-rails-a-beginners-guide-free/;Todos los niveles; 50.000 ;32; 12.328 
desarrollador web;370752;Conviértase en desarrollador web y vendedor: cree sitios web con HTML;https://www.udemia.cl/el-curso-definitivo-de-construcción-y-venta-de-sitios-web/;Nivel principiante; - ;18; 12.293 
desarrollador web;890810;El curso completo para desarrolladores de Ruby on Rails;https://www.udemia.cl/the-complete-ruby-on-rails-developer-course/;Todos los niveles; - ;24; 12.201 
desarrollador web;113706;Codeigniter: cómo usar Codeigniter que impulsa el conocimiento;https://www.udemia.cl/codeigniter/;Nivel principiante; 35.000 ;54; 12.105 
desarrollador web;723522;Aprenda el desarrollo de Bootstrap construyendo 10 proyectos;https://www.udemia.cl/learn-bootstrap-development-by-building-10-projects/;Nivel intermedio; 195.000 ;12; 12.068 
desarrollador web;746014;Aprende a Hacer una Galería de Imágenes Animadas usando HTML5;https://www.udemia.cl/aprende-a-hacer-una-galeria-de-imagenes-animadas-usando-html5/;Todos los niveles; 195.000 ;41; 12.021 
desarrollador web;560996;Desarrollo Web Haciendo: HTML/CSS Desde Cero;https://www.udemia.cl/web-development-learn-by-doing-html5-css3-from-scratch-introductory/;Nivel intermedio; 100.000 ;28; 11.892 
desarrollador web;26845;Fundamentos de JavaScript Práctica Codificación Ejercicios Consejos;https://www.udemia.cl/essentials-of-javascript-practice-coding-exercises-tips/;Todos los niveles; 50.000 ;57; 11.847 
desarrollador web;822444;Reacción moderna con Redux;https://www.udemia.cl/react-redux/;Nivel principiante; 200.000 ;191; 11.832 
desarrollador web;563668;Vue JS - Dominio de aplicaciones web;https://www.udemia.cl/vue-web-apps/;Todos los niveles; - ;19; 11.812 
desarrollador web;540724;Curso HTML Completo - Principiante a Experto;https://www.udemia.cl/the-complete-html-developer-course/;Nivel principiante; - ;8; 11.758 
desarrollador web;596192;La clase magistral completa de desarrollador web: principiante a avanzado;https://www.udemia.cl/webdevelopercourse/;Todos los niveles; - ;20; 11.666 
;;;;;;;
desarrollador web;77642;Dirigir un negocio de desarrollo web: la guía completa;https://www.udemia.cl/la-guía-completa-para-ejecutar-un-negocio-de-desarrollo-web/;Todos los niveles; 100.000 ;21; 11.643 
desarrollador web;696016;Arquitectura sin servidor en Amazon Web Services;https://www.udemia.cl/arquitectura-sin-servidor-en-aws/;Todos los niveles; 200.000 ;15; 11.574 
