"ID_Curso;Nombre curso;URL;Precio;Suscriptores;Vistas;Nivel;Área"
"1229488;Estudios avanzados de tuba: ¡conviértete en un maestro de la tuba!;https://www.udemia.cl/play-by-ear/;50000;0;15;Nivel principiante;Musica"
"566678;Inicio de guitarra;https://www.udemia.cl/aprender-4-acordes-y-tocar-miles-de-canciones/;0;47;47;Todos los niveles;Musica"
"501412;Euphonium Pro Series - Enamórate del Euphonium;https://www.udemia.cl/play-piano-by-ear-today-supercourse/;50000;2;77;Todos los niveles;Musica"
"696630;Técnicas de guitarra de rock moderno;https://www.udemia.cl/nationalguitaracademy/;50000;100;375;Todos los niveles;Musica"
"286070;Una guía para principiantes sobre cómo tocar y rasguear la guitarra con los dedos;https://www.udemia.cl/5-lecciones-que-todo-guitarrista-debe-tomar/;0;14;29;Todos los niveles;Musica"
"681692;Aprende a tocar melodías de oído en la armónica, sin música escrita;https://www.udemia.cl/guitarsupersystemlevel2/;35000;3;34;Todos los niveles;Musica"
"206088;Master Class # 11: Tocar Técnicas de Piano Aprender Piano 1 a 10;https://www.udemia.cl/total-fretboard-mastery/;95000;10;224;Todos los niveles;Musica"
"687248;Guitarra: aprende 12 riffs de guitarra de rock que debes conocer para principiantes;https://www.udemia.cl/formula-de-3-pasos-para-tocar-la-guitarra-de-oido/;50000;10;20;Nivel principiante;Musica"
"955914;Entrenamiento básico de Looper de guitarra;https://www.udemia.cl/guitar-domination-fingerpicking-strumming-beginners/;45000;13;20;Todos los niveles;Musica"
"658276;Tu primer curso de piano;https://www.udemia.cl/pianoforsingersongwriters/;70000;34;42;Nivel principiante;Musica"
"762374;Los 7 Acordes para Tocarlo Todo en un fin de semana;https://www.udemia.cl/guitar-lessons-string-bending-and-vibrato-essentials/;20000;5;23;Todos los niveles;Musica"
"648506;Toca la guitarra con ritmo - 5 lecciones fáciles;https://www.udemia.cl/guitarra-blues/;20000;0;21;Nivel principiante;Musica"
"666322;Pura potencia pentatónica: solos de guitarra de rock y blues;https://www.udemia.cl/aprende-a-tocar-el-piano-de-un-pianista-de-concierto-para-principiantes/;50000;10;17;Nivel intermedio;Musica"
"198660;Descubre la Guitarra Clásica Nivel 1;https://www.udemia.cl/tenor-banjo-para-principiantes-absolutos/;25000;34;38;Nivel principiante;Musica"
"385684;¡Descifrando el código del violín!;https://www.udemia.cl/guitar-kick-start/;120000;22;82;Todos los niveles;Musica"
"1029440;Aprende a tocar el contrabajo sin complicaciones;https://www.udemia.cl/tecnicas-de-guitarra-rock-moderno/;50000;1;32;Nivel principiante;Musica"
"1098994;Sistema Completo De Guitarra Rítmica Para Principiantes;https://www.udemia.cl/fun-ukulele-strumming-course/;55000;3;15;Nivel principiante;Musica"
"288942;Aprende a tocar la batería;https://www.udemia.cl/magic-of-eb-key-12-piano-tips-to-play-open-10-ballad-feel/;25000;68;88;Nivel principiante;Musica"
"105350;Lecciones de guitarra - El sistema modal - Fundamentos de los modos;https://www.udemia.cl/easy-piano-today-play-festive-favorites-christmas-party-hits/;45000;7;80;Nivel principiante;Musica"
"1034414;Aprende a tocar el bajo eléctrico;https://www.udemia.cl/3-fingerstyle-guitar-techniques-you-need-to-know/;50000;0;13;Todos los niveles;Musica"
"476324;Instant Harmonica: ¡toca Dylan's Like a Rolling Stone ahora!;https://www.udemia.cl/10-beginner-chord-progressions-/;40000;2;28;Todos los niveles;Musica"
"521440;Instant Harmonica - toca The Lion Sleeps Tonight - ¡hoy!;https://www.udemia.cl/strumming-mastery/;20000;1;19;Nivel principiante;Musica"
"476988;Guitarra country moderna: Refuerzo de técnica;https://www.udemia.cl/beginner-blues-guitar/;30000;16;25;Todos los niveles;Musica"
"521072;Aprenda Oud 1 (¡No se requieren conocimientos musicales previos!);https://www.udemia.cl/play-songs-on-the-piano-from-sheet-music/;20000;27;41;Nivel Experto;Musica"
"983418;Comienza a tocar la armónica de blues;https://www.udemia.cl/allmanbrothersguitar/;0;78;80;Nivel principiante;Musica"
"749686;Solos de bombardino: ¡aprende a interpretar tres piezas únicas y divertidas!;https://www.udemia.cl/absolute-beginners-30-day-guitar-challenge/;50000;2;32;Nivel principiante;Musica"
"20387;Crea hermosa música en el piano como un profesional en minutos;https://www.udemia.cl/eatmystrings-guitar-insanity-workout/;95000;17;29;Nivel principiante;Musica"
"806638;Pedales de efectos de bajo;https://www.udemia.cl/blues-master-basic-techniques-piano-course/;50000;3;16;Nivel principiante;Musica"
"807934;Lecciones de batería para principiantes;https://www.udemia.cl/8020guitar/;95000;1;24;Nivel principiante;Musica"
"288854;Aprende a tocar el teclado como expertos;https://www.udemia.cl/beginners-guitar-tuning-strumming-and-chords/;50000;1;6;Todos los niveles;Musica"
"873386;Acoustic Guitar Lessons For Beginners;https://www.udemia.cl/guitar-lessons-the-essential-beginner-intermediate-course/;95000;3;23;Todos los niveles;Musica"
"970880;FingerstyleGuitar de Jacques Stotzem - Nivel Básico;https://www.udemia.cl/blues-guitar-lessons-for-beginners-chords-rhythm-and-lead/;30000;12;16;Todos los niveles;Musica"
"138228;Piano de adoración: de principiante a profesional;https://www.udemia.cl/benhewlettharmonicatuitionb1/;80000;11;17;Nivel principiante;Musica"
"647338;Bloques de construcción de piano: aprenda los 24 acordes más comunes;https://www.udemia.cl/coverband/;50000;10;25;Todos los niveles;Musica"
"422546;Piano para cantantes/compositores 2: inmersión en el ritmo pop/rock;https://www.udemia.cl/use-circle-of-5ths-to-play-a-song-in-12-keys-in-12-days/;100000;37;115;Todos los niveles;Musica"
"782430;Aprende escalas y arpegios Vol.2 : Modo menor;https://www.udemia.cl/playing-piano-major-scales-and-arpeggios-voli/;50000;1;26;Todos los niveles;Musica"
"51752;¡Toca el piano en 30 días! - ¡Empieza a jugar AHORA!;https://www.udemia.cl/just-chords-piano/;0;53;310;Nivel principiante;Musica"
"311530;Rasgueando desde cero - Lección de guitarra rítmica para principiantes;https://www.udemia.cl/aprende-a-tocar-blues-rock-boogie-woogie-piano-hoy/;0;11;14;Nivel intermedio;Musica"
"1116196;Armónica instantánea: ¡toca esta melodía clásica de blues de 8 compases!;https://www.udemia.cl/essential-theory-and-technique-for-guitar/;40000;4;22;Nivel principiante;Musica"
"659918;Piano con Willie: acordes de piano vol. 2;https://www.udemia.cl/piano-runs-fills-2-play-rolling-cascading-runs-for-intro/;40000;2;30;Nivel principiante;Musica"
"1003568;Ukulele lernen für Papas mit Aram sam sam;https://www.udemia.cl/learn-piano-11-play-piano-techniques-master-class-1-to10/;55000;0;113;Nivel principiante;Musica"
"515256;Lecciones de guitarra para principiantes - Curso intensivo para adultos ocupados;https://www.udemia.cl/12-must-know-strumming-patterns/;50000;9;16;Nivel principiante;Musica"
"1119092;Solos de flauta: aprenda a interpretar tres piezas únicas y divertidas;https://www.udemia.cl/aprender-guitarra-de-la-manera-correcta/;50000;4;99;Nivel principiante;Musica"
"961630;Aprende cÃ³mo tocar el Bajo Sexto;https://www.udemia.cl/aprender-guitarra-en-30-minutos/;50000;2;7;Nivel principiante;Musica"
"907966;Armónica instantánea: ¡toca blues de 12 compases al estilo Big Walter ahora!;https://www.udemia.cl/estilo-clásico-ccr/;40000;2;24;Nivel principiante;Musica"
"1123250;Estudios avanzados de oboe: ¡conviértete en un maestro oboísta!;https://www.udemia.cl/master-class-piano-techniques-tips-to-ez-coordinate-2-hands/;50000;0;62;Nivel principiante;Musica"
"1122832;Composición fácil de guitarra y armonía;https://www.udemia.cl/piano-hand-coordination-6-play-open-10th-ballad-to-94-song/;20000;3;21;Nivel principiante;Musica"
"1123184;Domina la tuba - ¡Instrucción intermedia simplificada!;https://www.udemia.cl/learn-piano-hand-coordination-7-piano-runs-in-3-beats-94/;50000;5;25;Todos los niveles;Musica"
"551170;Introducción al piano - ¡Por PGN Piano!;https://www.udemia.cl/introduccion-al-piano-y-la-musica/;0;33;33;Todos los niveles;Musica"
"1111630;Guitarra acústica después de lo básico;https://www.udemia.cl/aprende-a-tocar-el-piano-desde-cero/;45000;17;161;Nivel principiante;Musica"
"646906;Estudios avanzados de fagot: ¡aprende a dominar el fagot!;https://www.udemia.cl/tocando-el-piano-yo-toco-acordes-y-piezas-populares/;50000;0;43;Todos los niveles;Musica"
"778682;Curso de percusión espiritual en línea de The Music Coach;https://www.udemia.cl/gitarrenakkordespielenwiedieprofis/;95000;0;38;Todos los niveles;Musica"
"353224;Curso de guitarra para principiantes.;https://www.udemia.cl/the-best-beginner-guitar-course-ever/;20000;0;16;Nivel principiante;Musica"
"17922;Aprende a tocar la flauta dulce de forma sencilla y gradual;https://www.udemia.cl/play-ukelele/;50000;0;78;Nivel Experto;Musica"
"829616;Ahora aprende a tocar jazz en el piano;https://www.udemia.cl/aprendiendo-piano-ejercicios-de-calentamiento/;30000;0;11;Nivel principiante;Musica"
"132570;Arpa judía - Curso avanzado;https://www.udemia.cl/basic-piano-hymn-playing/;30000;1;28;Todos los niveles;Musica"
"260900;Estudios avanzados de trompeta: ¡aprende a dominar la trompeta!;https://www.udemia.cl/quick-and-easy-piano-chords/;50000;4;90;Nivel principiante;Musica"
"777650;GUITARRA #1: Conceptos básicos para principiantes y más allá;https://www.udemia.cl/drumming-for-beginners-learn-how-to-drum-course/;20000;12;22;Nivel principiante;Musica"
"658816;Aprende a tocar la batería sin un kit de batería;https://www.udemia.cl/aprende-a-improvisar-en-guitarra/;25000;33;52;Todos los niveles;Musica"
"637842;Piano con Willie: fundamentos de la improvisación;https://www.udemia.cl/piano-playing-beggining-the-journey/;40000;4;34;Nivel principiante;Musica"
"326428;Aprender guitarra eléctrica para principiantes absolutos;https://www.udemia.cl/aprender-piano-scales/;35000;2;26;Nivel principiante;Musica"
"993510;Cómo tocar el piano - Pase de un principiante/intermedio a un profesional;https://www.udemia.cl/piano-skills-improve-your-piano-technique/;200000;24;24;Nivel intermedio;Musica"
"888698;Haz tu propio ukelele;https://www.udemia.cl/piano-playing-reading-and-playing-classical-tunes-volii/;85000;5;17;Nivel intermedio;Musica"
"670376;Aprende a tocar el 'Estudio en si menor' de Fernando Sor"",https://www.udemy.com/study-in-b-minor/,true,115,1403,5,9,Intermediate Level,43 mins,2014-01 -27T20:58:16Z;https://www.udemia.cl/tutorial-de-piano-ludovico-einaudi-una-mattina/;0;0;6;Todos los niveles;Musica"
"1217408;Aprende escalas de piano: ¡Toca cualquier canción en cualquier tono! Como lo hacen los profesionales;https://www.udemia.cl/tambores-para-principiantes/;50000;9;15;Todos los niveles;Musica"
"396238;Masterclass de guitarra profesional;https://www.udemia.cl/bassguitar/;200000;52;52;Todos los niveles;Musica"
"1010274;Lección de guitarra: cinco pasos para aprender acordes con cejilla;https://www.udemia.cl/drummingaccelerator/;35000;9;34;Nivel principiante;Musica"
"1170074;La escalera de acordes de piano | Aprende a tocar miles de canciones;https://www.udemia.cl/10-hand-coordination-transfer-chord-ballad-9-he-is-lord/;100000;2;41;Nivel principiante;Musica"
"195576;Tu segundo curso de piano: tocar con dos manos;https://www.udemia.cl/aprender-a-tocar-la-bateria-sin-un-kit-de-bateria/;70000;12;39;Todos los niveles;Musica"
"242382;El curso completo para principiantes de piano y teoría musical;https://www.udemia.cl/furelise/;50000;6;6;Todos los niveles;Musica"
"515262;Lo esencial de los patrones de rasgueo de guitarra acústica;https://www.udemia.cl/guitarra-electrica-principiante/;0;20;20;Nivel principiante;Musica"
"995562;6 trucos imprescindibles para triunfar en solitario;https://www.udemia.cl/play-piano-1-improvise-2-5-power-chords-on-popular-songs/;35000;38;42;Todos los niveles;Musica"
"464844;Serie Horn Pro: te encantará tocar la trompa;https://www.udemia.cl/discover-guitarra-clasica-nivel-1/;50000;3;19;Nivel principiante;Musica"
"104304;Curso de batería para principiantes de Mike G: Parte 1;https://www.udemia.cl/aprende-a-tocar-el-piano-usando-pop-rb-y-gospel-chords/;35000;14;14;Todos los niveles;Musica"
"971962;Clase Magistral de Guitarra Clásica: 'Alman';https://www.udemia.cl/zero-to-guitar-fingerpicking/;195000;2;36;Todos los niveles;Musica"
"631416;Tocar el piano: tocar acordes y piezas populares Vol.I;https://www.udemia.cl/learn-piano-christmas-song-play-dreamy-piano-music-white-christmas/;100000;7;102;Nivel principiante;Musica"
"801486;Aprendiendo Piano: Tocando Piezas Populares Vol.II;https://www.udemia.cl/playing-piano-popular-pieces-volii/;100000;2;24;Nivel principiante;Musica"
"917432;El mejor curso de guitarra para principiantes;https://www.udemia.cl/the-professional-bass-masterclass/;50000;88;88;Todos los niveles;Musica"
"372416;Cómo tocar la guitarra: para principiantes absolutos;https://www.udemia.cl/piano-hack-28-chords-in-under-an-hour/;35000;3;16;Todos los niveles;Musica"
"1041176;Lecciones de piano para el fanático del hip hop;https://www.udemia.cl/beginner-ukulele/;20000;2;17;Nivel intermedio;Musica"
"384928;Oboe Solos: ¡Aprende a interpretar tres piezas únicas y divertidas!;https://www.udemia.cl/play-harmonica-riffs-like-the-blues-harp-superstars-part-1/;50000;0;55;Todos los niveles;Musica"
"710420;Lecciones de batería de Rhythm to Rock;https://www.udemia.cl/tabla-clasica-india/;20000;2;21;Todos los niveles;Musica"
"640496;Aprenda técnicas divertidas de piano de ensueño #1 - Toque White Christmas;https://www.udemia.cl/teaching-piano-a-quick-guide-for-begginers/;80000;10;18;Todos los niveles;Musica"
"902474;Sistema Pentatónico CAGED para Guitarra - Nivel 3;https://www.udemia.cl/sistema-enjaulado-guitarra-nivel-1/;45000;17;35;Nivel principiante;Musica"
"455054;Guitarra total de principiante a intermedio - Aprende a tocar de oído;https://www.udemia.cl/ninja-chord-changes/;45000;4;13;Nivel intermedio;Musica"
"830568;Lecciones de guitarra - Principios básicos del arpegio con púa de barrido;https://www.udemia.cl/5-exotic-guitar-scales-and-how-to-use-them-eficaz/;35000;6;21;Todos los niveles;Musica"
"535650;Primeros pasos con la guitarra en 5 días;https://www.udemia.cl/aprender-técnicas-de-guitarra-metalica/;0;1;68;Nivel principiante;Musica"
"101498;Atrás 2 Los fundamentos;https://www.udemia.cl/jim-bruce-blues-guitar-lessons-texas-carolina/;50000;9;9;Nivel principiante;Musica"
"648628;Aprende a tocar el trombón: ¡Pasa de principiante a profesional en muy poco tiempo!;https://www.udemia.cl/learn-piano-christmas-song-2-play-dreamy-silver-bells/;50000;47;99;Nivel principiante;Musica"
"112314;Aprenda piano n.º 8: use sub de acordes aumentados y escalas de tonos completos;https://www.udemia.cl/jim-bruce-blues-guitar-lessons-36-pack/;60000;4;40;Todos los niveles;Musica"
"606494;Pure Modal Magic: la solución completa de modos de guitarra;https://www.udemia.cl/the-8020-beginner-guitar-course/;50000;3;51;Todos los niveles;Musica"
"660460;Didgeridoo - ¡de cero a HÉROE! Primera parte - comienzo;https://www.udemia.cl/tocando-piano-para-principiantes-completos/;35000;11;30;Nivel principiante;Musica"
"1009802;Piano Fácil para Niños - Curso Completo de Piano para Principiantes;https://www.udemia.cl/play-piano-8-play-over-the-rainbow-by-ear-free-improvise/;115000;8;69;Todos los niveles;Musica"
"27681;Cómo tocar en una sesión local de música irlandesa con confianza;https://www.udemia.cl/piano-improvisacion-desde-el-dia-uno/;40000;5;21;Nivel principiante;Musica"
"42251;Armónica instantánea: ¡juega Amazing Grace + Ode to Joy ahora!;https://www.udemia.cl/blues-and-advanced-guitar-lessons/;40000;7;131;Nivel principiante;Musica"
"692658;Aprende a tocar la trompa francesa: principiante a profesional de la manera más fácil;https://www.udemia.cl/howtoplaychristmassongsontheguitar/;50000;11;11;Nivel intermedio;Musica"
"993134;Fundamentos de la guitarra acústica;https://www.udemia.cl/learn-piano-10-tritone-chord-substitution-with-jazzy-sounds/;0;26;26;Nivel principiante;Musica"
"550842;Armónica instantánea: ¡toca el tema Blowing in the Wind + Popeye!;https://www.udemia.cl/12-chords-to-jam-with/;40000;1;20;Todos los niveles;Musica"
"902476;¡Toca el piano de oído hoy! Supercurso;https://www.udemia.cl/guitarra-country-enjaulada/;60000;21;32;Nivel intermedio;Musica"
"920194;Rhythm to Rock Drum Lessons 3;https://www.udemia.cl/sistema-enjaulado-guitarra-nivel-2/;20000;2;26;Nivel principiante;Musica"
"174562;Curso de Coaching: Instrucción del Ritmo para Educadores Musicales P2;https://www.udemia.cl/saxophone-a-beginners-guide/;125000;0;77;Nivel principiante;Musica"
"997470;Armónica instantánea: toca 'Solo llamé para decirte que te amo';https://www.udemia.cl/play-piano-2-improvise-play-standards-by-ear-aura-lee/;40000;0;56;Nivel principiante;Musica"
"515260;Aprende a tocar Tárrega, Bach y Sor en guitarra clásica;https://www.udemia.cl/fretboard-mastery/;195000;10;10;Todos los niveles;Musica"
"972704;El arte de la improvisación pianística;https://www.udemia.cl/how-to-play-contemporary-piano/;20000;4;10;Nivel principiante;Musica"
"40495;Fundamentos de la guitarra bluegrass: webisodios 5 y 6;https://www.udemia.cl/decplay-la-manera-más-rápida-de-aprender-piano/;30000;2;31;Nivel intermedio;Musica"
"1033670;Violín para principiantes 101: cuidado, mantenimiento y el equipo adecuado;https://www.udemia.cl/guitar-crash-course-para-principiantes-adultos-que-quieren-tocar-ahora/;0;29;29;Todos los niveles;Musica"
"647336;Fingerpicking Lecciones de guitarra blues - Guitarra de cuello de botella;https://www.udemia.cl/fundamentos-de-guitarra-country/;20000;12;23;Nivel principiante;Musica"
"149728;Play Piano 4: Improvisar sobre la canción popular Acordes de ayer;https://www.udemia.cl/aprender-jazz-piano-con-willie-hoy/;50000;4;44;Todos los niveles;Musica"
"1048188;Cómo tocar la guitarra: tu guía de 30 días para aprender a tocar la guitarra;https://www.udemia.cl/guitarra-country-moderna/;20000;10;42;Nivel principiante;Musica"
"392958;Curso intensivo de escala pentatónica para bajo;https://www.udemia.cl/learndrums/;0;6;74;Nivel principiante;Musica"
"356060;Lecciones de guitarra para principiantes de Paul Gronow;https://www.udemia.cl/learn-piano-8-use-augmented-chord-sub-whole-tone-scales/;50000;4;45;Nivel principiante;Musica"
"829962;piano con willie: blues n' boogie vol. 2;https://www.udemia.cl/aprendiendo-el-darbuka-dounbek-drum/;40000;8;11;Todos los niveles;Musica"
"413182;Agregue diapositivas a su forma de tocar la guitarra;https://www.udemia.cl/play-by-ear-4-play-many-songs-by-ear-with-3-chords-sing/;20000;2;110;Nivel intermedio;Musica"
"672894;Dominio de la guitarra fingerstyle: 3 técnicas que necesitas saber;https://www.udemia.cl/christmas-piano-songs-for-the-very-beginner-vol-i/;0;15;15;Nivel intermedio;Musica"
"783292;Dominio del diapasón de guitarra para el guitarrista de blues;https://www.udemia.cl/guitar-chord-riot-learn-to-play-guitar-like-a-guitar-jedi/;20000;6;43;Todos los niveles;Musica"
"837722;El curso completo de piano - Domina el piano;https://www.udemia.cl/teoria-modal-para-guitarra/;95000;9;9;Todos los niveles;Musica"
"1051856;Curso de Tabla Paso a Paso - Tambores Indios;https://www.udemia.cl/guitarra-clasica-esenciales-los-basicos-parte-2/;20000;17;44;Nivel intermedio;Musica"
"670640;Slide Guitar- Principios básicos de los solos de Slide;https://www.udemia.cl/31dayguitar/;50000;20;32;Nivel intermedio;Musica"
"517366;Clase de Piano ABRSM Grado III - Handel Sonatina en G 2017-2018;https://www.udemia.cl/learnguitar/;20000;0;19;Todos los niveles;Musica"
"552700;Cómo tocar Djembe, Drums & Rhythm. Nivel 2;https://www.udemia.cl/aprender-a-tocar-el-piano-nivel-1/;40000;14;22;Todos los niveles;Musica"
"998100;Blues Master - Curso de técnicas de piano para principiantes;https://www.udemia.cl/play-piano-4-improvise-on-popular-song-yesterday-chords/;0;41;63;Todos los niveles;Musica"
"1034080;Aprende la viola - Escalas y fundamentos;https://www.udemia.cl/el-circulo-de-quintas-para-guitarra/;80000;3;5;Nivel principiante;Musica"
"566856;Serie Flute Pro - Estás a punto de amar practicar la flauta;https://www.udemia.cl/learn-monster-godj/;50000;1;12;Nivel principiante;Musica"
"344234;Toca el ukelele ahora;https://www.udemia.cl/learn-piano-7-learn-chromatic-chords-chromatic-scale-run/;30000;74;74;Nivel intermedio;Musica"
"787686;Bajo eléctrico desde el principio;https://www.udemia.cl/bluegrass-guitar-essentials-webisodes-1-2/;100000;1;9;Nivel principiante;Musica"
"1240148;Rasgueando la guitarra - 5 lecciones sobre patrones de rasgueo;https://www.udemia.cl/how-to-find-scales-and-major-minor-chords-on-piano/;20000;3;17;Todos los niveles;Musica"
"184780;Cómo tocar la guitarra de blues - Lecciones de blues de Broonzy & McGhee;https://www.udemia.cl/trumpet-a-beginners-guide/;0;31;145;Nivel principiante;Musica"
"574428;Toca melodías en la armónica y aprende a doblar algunas notas;https://www.udemia.cl/fingerpicking-learn-fingerstyle-guitar-songs/;35000;2;13;Todos los niveles;Musica"
"1120410;Aprende a Tocar Teclado - Piano;https://www.udemia.cl/aprender-piano-technique-5-piano-runs-in-2-beats-in-eb-key/;35000;8;32;Todos los niveles;Musica"
"956102;Blues Master - Advanced Techniques Piano Course;https://www.udemia.cl/guitar-lessons-for-complete-beginners/;75000;2;12;Nivel principiante;Musica"
"505126;Manos a la guitarra: Más allá de principiante;https://www.udemia.cl/discover-guitarra-clasica-nivel-2/;20000;7;123;Todos los niveles;Musica"
"1257976;Aprende guitarra en 21 días;https://www.udemia.cl/tus-primeras-10-lecciones-de-guitarra-aprende-a-tocar-la-guitarra/;20000;18;18;Todos los niveles;Musica"
"173776;Guitarra Desde Cero - PARTE 1;https://www.udemia.cl/ultimate-blues-guitar-beginners-course/;35000;12;90;Nivel principiante;Musica"
"708696;Lecciones de guitarra blues: toca como los grandes - Todos los niveles;0;20000;0;0;0;Musica"
"769270;Dominio de la flauta: ¡Instrucción intermedia simplificada!;https://www.udemia.cl/paso-a-paso-keharwa-theka-tabla-course-3-bonus-fillers/;50000;15;16;Todos los niveles;Musica"
"1253224;Percusión para principiantes: una forma sencilla de aprender a tocar la batería;https://www.udemia.cl/pentatonic-scale-crash-course-for-bass-guitar/;20000;24;24;Nivel principiante;Musica"
"970462;¡Piano sin dolor!;https://www.udemia.cl/ukelele-expres-gratis/;40000;1;25;Nivel principiante;Musica"
"403078;88 Logic - La guía esencial para aprender a tocar el piano;https://www.udemia.cl/percussive-fingerstyle-course/;25000;0;74;Nivel intermedio;Musica"
"338926;Lecciones de guitarra de blues - Volumen 3 - Minor Blues Essentials;https://www.udemia.cl/clarinet-a-beginners-guide/;45000;5;88;Todos los niveles;Musica"
"692812;Guitarra:Toca 5 progresiones fáciles de acordes navideños en la guitarra;https://www.udemia.cl/piano-major-scales/;50000;4;62;Todos los niveles;Musica"
"412970;Escalas pentatónicas para guitarristas;https://www.udemia.cl/guitarra-clasica-essentials-the-basics-part1/;25000;3;52;Nivel principiante;Musica"
"1116700;Tambores para principiantes;https://www.udemia.cl/learn-piano-technique-4-piano-run-in-2-beats-in-c-key-song/;0;4;43;Todos los niveles;Musica"
